,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y
0,600.0,1321.0,536.0,1535.0,409.0,1214.0,650.0,1183.0,465.0,1411.0,612.0,1394.0,1401,1705,588,1326,3137,2183
1,603.0,1324.0,536.0,1537.0,410.0,1215.0,655.0,1180.0,467.0,1416.0,613.0,1396.0,1442,1755,592,1329,2983,2079
2,602.0,1322.0,539.0,1537.0,408.0,1215.0,655.0,1179.0,466.0,1413.0,617.0,1394.0,1427,1747,591,1327,3404,2386
3,600.0,1320.0,533.0,1536.0,407.0,1214.0,653.0,1181.0,464.0,1415.0,610.0,1396.0,1410,1728,588,1327,3187,2243
4,597.0,1322.0,529.0,1535.0,406.0,1212.0,651.0,1183.0,462.0,1410.0,606.0,1395.0,1403,1735,585,1327,3105,2214
5,596.0,1321.0,527.0,1534.0,409.0,1213.0,650.0,1185.0,460.0,1410.0,605.0,1395.0,1384,1731,584,1327,2966,2106
6,595.0,1321.0,525.0,1534.0,407.0,1212.0,649.0,1186.0,459.0,1409.0,603.0,1395.0,1378,1726,583,1327,3027,2169
7,596.0,1322.0,523.0,1533.0,407.0,1212.0,650.0,1187.0,458.0,1409.0,601.0,1395.0,1372,1742,582,1328,2966,2133
8,595.0,1321.0,525.0,1535.0,408.0,1213.0,649.0,1186.0,458.0,1409.0,603.0,1395.0,1382,1732,583,1328,2961,2116
9,597.0,1323.0,527.0,1535.0,409.0,1214.0,650.0,1187.0,461.0,1411.0,604.0,1397.0,1384,1727,585,1329,2944,2097
10,596.0,1321.0,528.0,1535.0,409.0,1215.0,649.0,1186.0,461.0,1411.0,605.0,1395.0,1380,1721,584,1328,2909,2041
11,596.0,1324.0,525.0,1536.0,408.0,1213.0,651.0,1186.0,460.0,1412.0,602.0,1397.0,1401,1749,585,1330,2880,2065
12,599.0,1323.0,528.0,1538.0,409.0,1212.0,653.0,1182.0,462.0,1415.0,604.0,1398.0,1441,1753,589,1329,2817,2016
13,601.0,1324.0,529.0,1536.0,409.0,1213.0,655.0,1183.0,462.0,1414.0,606.0,1397.0,1422,1767,588,1330,2954,2113
14,598.0,1322.0,528.0,1535.0,411.0,1214.0,652.0,1187.0,463.0,1411.0,605.0,1397.0,1384,1726,586,1329,2944,2098
15,598.0,1323.0,528.0,1537.0,409.0,1214.0,654.0,1185.0,461.0,1413.0,605.0,1397.0,1404,1756,586,1330,3013,2164
16,600.0,1323.0,528.0,1536.0,411.0,1214.0,655.0,1185.0,463.0,1413.0,605.0,1397.0,1406,1757,588,1330,2881,2055
17,600.0,1323.0,530.0,1536.0,409.0,1215.0,655.0,1184.0,463.0,1414.0,607.0,1397.0,1402,1756,588,1330,3040,2162
18,599.0,1324.0,533.0,1539.0,408.0,1217.0,655.0,1182.0,463.0,1416.0,611.0,1397.0,1421,1767,588,1331,3151,2228
19,599.0,1324.0,532.0,1537.0,409.0,1216.0,655.0,1183.0,463.0,1413.0,610.0,1395.0,1410,1771,588,1330,3081,2177
20,599.0,1323.0,530.0,1538.0,410.0,1215.0,655.0,1184.0,462.0,1415.0,608.0,1397.0,1413,1761,588,1330,3033,2166
21,600.0,1322.0,534.0,1539.0,410.0,1215.0,654.0,1183.0,464.0,1415.0,611.0,1398.0,1419,1733,589,1329,3171,2255
22,599.0,1324.0,532.0,1538.0,409.0,1215.0,656.0,1183.0,463.0,1414.0,610.0,1396.0,1417,1771,589,1330,3156,2254
23,596.0,1325.0,526.0,1534.0,409.0,1216.0,653.0,1188.0,459.0,1410.0,604.0,1395.0,1366,1771,584,1331,2994,2130
24,598.0,1326.0,529.0,1536.0,409.0,1216.0,653.0,1185.0,462.0,1413.0,606.0,1395.0,1406,1774,587,1331,2851,1998
25,600.0,1324.0,531.0,1537.0,410.0,1216.0,654.0,1185.0,462.0,1412.0,609.0,1395.0,1402,1763,588,1330,3028,2144
26,595.0,1327.0,527.0,1535.0,408.0,1217.0,651.0,1188.0,459.0,1412.0,604.0,1395.0,1377,1771,584,1332,2908,2042
27,594.0,1329.0,526.0,1536.0,408.0,1217.0,650.0,1188.0,458.0,1413.0,603.0,1397.0,1390,1776,584,1333,2839,2001
28,593.0,1330.0,523.0,1534.0,405.0,1216.0,651.0,1187.0,456.0,1413.0,599.0,1396.0,1389,1804,582,1334,2794,1966
29,594.0,1330.0,523.0,1533.0,404.0,1216.0,650.0,1187.0,456.0,1411.0,600.0,1395.0,1382,1801,581,1333,2841,1996
30,595.0,1328.0,525.0,1534.0,408.0,1216.0,652.0,1187.0,458.0,1411.0,602.0,1395.0,1386,1792,584,1333,2813,1978
31,600.0,1323.0,530.0,1537.0,409.0,1215.0,655.0,1186.0,461.0,1413.0,609.0,1397.0,1388,1754,586,1330,3293,2380
32,598.0,1325.0,529.0,1538.0,408.0,1217.0,653.0,1185.0,461.0,1416.0,606.0,1398.0,1406,1762,586,1332,2965,2098
33,600.0,1325.0,533.0,1539.0,409.0,1217.0,656.0,1184.0,463.0,1416.0,611.0,1398.0,1413,1768,589,1332,3220,2298
34,600.0,1324.0,534.0,1539.0,410.0,1217.0,654.0,1183.0,464.0,1415.0,611.0,1396.0,1423,1757,590,1331,3006,2107
35,601.0,1327.0,530.0,1537.0,410.0,1215.0,656.0,1186.0,462.0,1413.0,608.0,1396.0,1411,1786,588,1332,3030,2172
36,602.0,1324.0,532.0,1539.0,411.0,1216.0,657.0,1184.0,463.0,1415.0,610.0,1397.0,1421,1773,590,1331,3063,2188
37,603.0,1327.0,539.0,1541.0,412.0,1218.0,658.0,1183.0,467.0,1417.0,617.0,1398.0,1439,1772,593,1332,3252,2303
38,604.0,1325.0,539.0,1540.0,412.0,1217.0,657.0,1182.0,468.0,1417.0,616.0,1397.0,1442,1757,594,1331,3126,2192
39,603.0,1326.0,537.0,1540.0,412.0,1216.0,660.0,1181.0,464.0,1416.0,613.0,1396.0,1453,1801,593,1332,3077,2187
