,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y
0,763.0,801.0,702.0,1039.0,597.0,722.0,807.0,720.0,639.0,915.0,769.0,910.0,1615,892,758,826,1897,471
1,765.0,802.0,702.0,1039.0,600.0,724.0,810.0,725.0,640.0,916.0,770.0,912.0,1588,889,759,827,2007,536
2,760.0,801.0,701.0,1038.0,594.0,722.0,807.0,717.0,637.0,914.0,768.0,908.0,1609,903,756,825,1911,413
3,759.0,800.0,702.0,1037.0,593.0,721.0,807.0,716.0,637.0,914.0,769.0,907.0,1608,895,756,824,1997,469
4,759.0,798.0,700.0,1037.0,593.0,719.0,806.0,718.0,637.0,912.0,767.0,908.0,1607,878,755,822,2049,581
5,759.0,798.0,700.0,1036.0,592.0,718.0,805.0,718.0,638.0,911.0,768.0,907.0,1607,869,755,821,2090,619
6,758.0,798.0,699.0,1034.0,591.0,718.0,804.0,719.0,637.0,910.0,767.0,907.0,1590,861,753,821,2139,645
7,758.0,796.0,699.0,1034.0,593.0,717.0,806.0,720.0,637.0,910.0,766.0,907.0,1584,859,753,820,2177,685
8,768.0,803.0,704.0,1040.0,604.0,724.0,812.0,725.0,642.0,917.0,772.0,913.0,1604,899,762,829,1911,483
9,767.0,803.0,704.0,1044.0,599.0,723.0,812.0,721.0,641.0,919.0,771.0,914.0,1644,904,762,828,1973,554
10,767.0,804.0,700.0,1038.0,599.0,720.0,807.0,721.0,640.0,912.0,769.0,909.0,1623,909,760,826,1727,364
11,773.0,797.0,716.0,1042.0,605.0,717.0,808.0,716.0,647.0,914.0,774.0,907.0,1698,864,769,821,1699,491
12,774.0,796.0,713.0,1042.0,607.0,715.0,806.0,718.0,647.0,912.0,771.0,908.0,1699,862,770,821,1583,478
13,782.0,800.0,715.0,1043.0,619.0,719.0,807.0,723.0,651.0,913.0,770.0,908.0,1685,895,776,826,1110,144
14,784.0,798.0,713.0,1041.0,623.0,718.0,803.0,720.0,652.0,909.0,768.0,904.0,1682,908,777,824,741,-149
15,781.0,797.0,711.0,1040.0,621.0,718.0,802.0,721.0,650.0,909.0,765.0,905.0,1669,902,774,824,791,-101
16,783.0,798.0,711.0,1041.0,622.0,719.0,803.0,722.0,651.0,910.0,767.0,906.0,1671,905,775,825,809,-93
17,783.0,797.0,710.0,1040.0,626.0,717.0,801.0,721.0,652.0,908.0,764.0,904.0,1671,913,776,824,546,-282
18,783.0,801.0,713.0,1043.0,621.0,720.0,806.0,725.0,651.0,911.0,771.0,907.0,1663,910,775,827,996,-16
19,781.0,801.0,711.0,1044.0,617.0,720.0,806.0,724.0,649.0,913.0,770.0,909.0,1679,901,774,827,1152,156
20,782.0,801.0,711.0,1045.0,619.0,720.0,807.0,724.0,650.0,912.0,772.0,908.0,1658,926,775,829,898,-162
21,778.0,794.0,711.0,1043.0,614.0,716.0,806.0,716.0,649.0,909.0,771.0,904.0,1698,894,773,822,1213,185
22,781.0,793.0,711.0,1041.0,616.0,715.0,803.0,715.0,650.0,908.0,768.0,904.0,1699,892,774,821,1002,72
23,780.0,797.0,712.0,1044.0,616.0,719.0,806.0,720.0,649.0,913.0,769.0,907.0,1689,899,774,825,1129,132
24,777.0,794.0,712.0,1042.0,612.0,717.0,805.0,713.0,648.0,911.0,768.0,904.0,1701,900,772,822,1115,83
25,777.0,792.0,712.0,1042.0,613.0,715.0,805.0,711.0,648.0,908.0,771.0,902.0,1709,896,773,820,1155,120
26,777.0,793.0,711.0,1042.0,611.0,715.0,802.0,711.0,647.0,911.0,764.0,904.0,1714,900,772,821,991,36
27,775.0,791.0,711.0,1042.0,610.0,714.0,804.0,709.0,647.0,908.0,769.0,902.0,1717,894,772,819,1178,144
28,773.0,796.0,707.0,1046.0,605.0,716.0,805.0,716.0,643.0,911.0,770.0,906.0,1706,893,768,823,1492,371
29,770.0,796.0,705.0,1044.0,605.0,718.0,803.0,719.0,643.0,912.0,766.0,908.0,1677,886,765,823,1440,342
30,771.0,792.0,707.0,1041.0,607.0,716.0,802.0,713.0,645.0,908.0,767.0,902.0,1682,890,767,820,1242,164
31,767.0,793.0,705.0,1042.0,601.0,717.0,805.0,713.0,641.0,911.0,767.0,905.0,1675,891,763,821,1564,345
32,768.0,797.0,707.0,1045.0,603.0,720.0,803.0,719.0,642.0,913.0,768.0,908.0,1674,879,764,824,1556,397
33,765.0,790.0,705.0,1040.0,598.0,714.0,801.0,709.0,641.0,909.0,766.0,902.0,1687,876,762,817,1519,341
34,765.0,792.0,705.0,1042.0,597.0,713.0,802.0,708.0,639.0,909.0,767.0,902.0,1706,888,763,818,1562,364
35,766.0,794.0,706.0,1046.0,597.0,715.0,802.0,713.0,639.0,912.0,767.0,906.0,1712,875,763,821,1672,494
36,768.0,796.0,708.0,1046.0,601.0,717.0,801.0,715.0,641.0,912.0,768.0,906.0,1706,878,765,822,1518,396
